"incident_no","date","time","vehicle_type","role","location","Latitude","Longitude","city","injured","killed","year"
18118626,2018-04-09,14:30:00,"TRUCK","DRIVER","N COAST HIGHWAY 101 & MARCHETA STREET, ENCINITAS, CA 92024",33.0544117,-117.2967036,"ENCINITAS",1,0,2018
18118635,2018-04-09,15:07:00,"AUTOMOBILE","DRIVER","300 BLOCK OF ABINGTON LANE, ENCINITAS, CA 92024",33.0413629,-117.250782,"ENCINITAS",1,0,2018
18119297,2018-04-13,07:54:00,"FARM EQUIPMENT","DRIVER","ENCINITAS BOULEVARD & VILLAGE SQUARE DRIVE, ENCINITAS, CA 92024",33.0458658,-117.2567028,"ENCINITAS",2,0,2018
18119358,2018-04-13,11:50:00,"FARM EQUIPMENT","DRIVER","908 CREST DRIVE, ENCINITAS, CA 92024",33.0408043,-117.2638915,"ENCINITAS",0,0,2018
18119484,2018-04-13,22:06:00,"AUTOMOBILE","DRIVER","2240 ENCINITAS BOULEVARD, ENCINITAS, CA 92024",33.0383717,-117.2386297,"ENCINITAS",0,0,2018
18119749,2018-04-15,19:59:00,"FARM EQUIPMENT","DRIVER","OFF STREET PARKING 1555 CAMINO DEL MAR & Camino Del Mar, DEL MAR, CA 92014",32.96048,-117.26525,"DEL MAR",0,0,2018
18119984,2018-04-17,06:56:00,"FARM EQUIPMENT","DRIVER","Interstate 5 n/b on-ramp & SANTA FE DRIVE, ENCINITAS, CA 92024",33.0362528,-117.2772177,"ENCINITAS",0,0,2018
18120250,2018-04-18,12:54:00,"MOTORCYCLE","DRIVER","ORPHEUS AVENUE & LEUCADIA BOULEVARD, ENCINITAS, CA 92024",33.0650425,-117.2936689,"ENCINITAS",1,0,2018
18120480,2018-04-19,15:25:00,"AUTOMOBILE","DRIVER","N RANCHO SANTA FE ROAD & WHISPER WIND DRIVE, ENCINITAS, CA 92024",33.0457551,-117.2346766,"ENCINITAS",0,0,2018
18120638,2018-04-20,12:30:00,"FARM EQUIPMENT","DRIVER","1219 CAMINO DEL MAR, DEL MAR, CA 92014",32.9570839,-117.2639901,"DEL MAR",0,0,2018
18121175,2018-04-21,22:00:00,"AUTOMOBILE","DRIVER","CHESTERFIELD DRIVE & SAN ELIJO AVENUE, ENCINITAS, CA 92024",33.0195152,-117.2816305,"ENCINITAS",0,0,2018
18120908,2018-04-21,23:52:00,"FARM EQUIPMENT","DRIVER","VILLAGE RUN E & ARJUNA COURT, ENCINITAS, CA 92024",33.0521466,-117.2468223,"ENCINITAS",0,0,2018
18121094,2018-04-23,08:40:00,"TRAILER","DRIVER","S CEDROS AVENUE & Lomas Santa Fe, SOLANA BEACH, CA 92075",32.9920448,-117.2706381,"SOLANA BEACH",0,0,2018
18121110,2018-04-23,09:38:00,"AUTOMOBILE","DRIVER","EL PORTAL STREET & LA VETA AVENUE, ENCINITAS, CA 92024",33.056422,-117.29912,"ENCINITAS",0,0,2018
18121832,2018-04-26,17:06:00,"AUTOMOBILE","DRIVER","Del Mar Downs & VIA DE LA VALLE, DEL MAR, CA 92014",32.980417,-117.261932,"DEL MAR",0,0,2018
18121837,2018-04-26,17:23:00,"FARM EQUIPMENT","DRIVER","1200 BLOCK ENCINITAS BOULEVARD, ENCINITAS, CA 92024",33.0465848,-117.2653683,"ENCINITAS",1,0,2018
18121900,2018-04-26,23:59:00,"AUTOMOBILE","DRIVER","LA COSTA AVENUE & N VULCAN AVENUE, ENCINITAS, CA 92024",33.0833871,-117.3071736,"ENCINITAS",0,0,2018
18122382,2018-04-27,17:30:00,"FARM EQUIPMENT","DRIVER","MELBA ROAD & NARDO ROAD, ENCINITAS, CA 92024",33.0398458,-117.2771314,"ENCINITAS",0,0,2018
18122028,2018-04-27,18:00:00,NA,"DRIVER","1600 DOVE HOLLOW DRIVE, ENCINITAS, CA 92024",33.0665006,-117.2124957,"ENCINITAS",0,0,2018
18122192,2018-04-28,00:00:00,"AUTOMOBILE","DRIVER","MOUNTAIN VISTA DRIVE & WANDERING ROAD, ENCINITAS, CA 92024",33.0518875,-117.2557634,"ENCINITAS",2,0,2018
